fecha;valorUVR;variacion_diaria;variacion_mensual;variacion_anual;variacion_ano_corrido
1/01/2000;1,033,396;;;;
2/01/2000;1,033,556;0,02;;;
3/01/2000;1,033,715;0,02;;;
4/01/2000;1,033,875;0,02;;;
5/01/2000;1,034,035;0,02;;;
6/01/2000;1,034,195;0,02;;;
7/01/2000;1,034,354;0,02;;;
8/01/2000;1,034,514;0,02;;;
9/01/2000;1,034,674;0,02;;;
10/01/2000;1,034,834;0,02;;;
11/01/2000;1,034,994;0,02;;;
12/01/2000;1,035,153;0,02;;;
13/01/2000;1,035,313;0,02;;;
14/01/2000;1,035,473;0,02;;;
15/01/2000;1,035,633;0,02;;;
16/01/2000;103,581;0,02;;;
17/01/2000;1,035,986;0,02;;;
18/01/2000;1,036,163;0,02;;;
19/01/2000;103,634;0,02;;;
20/01/2000;1,036,516;0,02;;;
21/01/2000;1,036,693;0,02;;;
22/01/2000;103,687;0,02;;;
23/01/2000;1,037,047;0,02;;;
24/01/2000;1,037,224;0,02;;;
25/01/2000;103,74;0,02;;;
26/01/2000;1,037,577;0,02;;;
27/01/2000;1,037,754;0,02;;;
28/01/2000;1,037,931;0,02;;;
29/01/2000;1,038,108;0,02;;;
30/01/2000;1,038,285;0,02;;;
31/01/2000;1,038,462;0,02;;;
1/02/2000;1,038,639;0,02;0,51;;
2/02/2000;1,038,817;0,02;0,51;;
3/02/2000;1,038,994;0,02;0,51;;
4/02/2000;1,039,171;0,02;0,51;;
5/02/2000;1,039,348;0,02;0,51;;
6/02/2000;1,039,525;0,02;0,52;;
7/02/2000;1,039,703;0,02;0,52;;
8/02/2000;103,988;0,02;0,52;;
9/02/2000;1,040,057;0,02;0,52;;
10/02/2000;1,040,235;0,02;0,52;;
11/02/2000;1,040,412;0,02;0,52;;
12/02/2000;1,040,589;0,02;0,53;;
13/02/2000;1,040,767;0,02;0,53;;
14/02/2000;1,040,944;0,02;0,53;;
15/02/2000;1,041,122;0,02;0,53;;
16/02/2000;1,041,582;0,04;0,56;;
17/02/2000;1,042,043;0,04;0,58;;
18/02/2000;1,042,503;0,04;0,61;;
19/02/2000;1,042,964;0,04;0,64;;
20/02/2000;1,043,425;0,04;0,67;;
21/02/2000;1,043,887;0,04;0,69;;
22/02/2000;1,044,348;0,04;0,72;;
23/02/2000;104,481;0,04;0,75;;
24/02/2000;1,045,272;0,04;0,78;;
25/02/2000;1,045,734;0,04;0,8;;
26/02/2000;1,046,196;0,04;0,83;;
27/02/2000;1,046,659;0,04;0,86;;
28/02/2000;1,047,121;0,04;0,89;;
29/02/2000;1,047,584;0,04;0,91;;
1/03/2000;1,048,047;0,04;0,91;;
2/03/2000;1,048,511;0,04;0,93;;
3/03/2000;1,048,974;0,04;0,96;;
4/03/2000;1,049,438;0,04;0,99;;
5/03/2000;1,049,902;0,04;1,02;;
6/03/2000;1,050,366;0,04;1,04;;
7/03/2000;105,083;0,04;1,07;;
8/03/2000;1,051,295;0,04;1,1;;
9/03/2000;105,176;0,04;1,13;;
10/03/2000;1,052,225;0,04;1,15;;
11/03/2000;105,269;0,04;1,18;;
12/03/2000;1,053,155;0,04;1,21;;
13/03/2000;1,053,621;0,04;1,24;;
14/03/2000;1,054,086;0,04;1,26;;
15/03/2000;1,054,552;0,04;1,29;;
16/03/2000;1,055,326;0,07;1,32;;
17/03/2000;105,61;0,07;1,35;;
18/03/2000;1,056,875;0,07;1,38;;
19/03/2000;1,057,651;0,07;1,41;;
20/03/2000;1,058,427;0,07;1,44;;
21/03/2000;1,059,204;0,07;1,47;;
22/03/2000;1,059,981;0,07;1,5;;
23/03/2000;1,060,759;0,07;1,53;;
24/03/2000;1,061,537;0,07;1,56;;
25/03/2000;1,062,316;0,07;1,59;;
26/03/2000;1,063,095;0,07;1,62;;
27/03/2000;1,063,876;0,07;1,64;;
28/03/2000;1,064,656;0,07;1,67;;
29/03/2000;1,065,437;0,07;1,7;;
30/03/2000;1,066,219;0,07;1,78;;
31/03/2000;1,067,002;0,07;1,85;;
1/04/2000;1,067,785;0,07;1,88;;
2/04/2000;1,068,568;0,07;1,91;;
3/04/2000;1,069,352;0,07;1,94;;
4/04/2000;1,070,137;0,07;1,97;;
5/04/2000;1,070,922;0,07;2;;
6/04/2000;1,071,708;0,07;2,03;;
7/04/2000;1,072,495;0,07;2,06;;
8/04/2000;1,073,282;0,07;2,09;;
9/04/2000;1,074,069;0,07;2,12;;
10/04/2000;1,074,857;0,07;2,15;;
11/04/2000;1,075,646;0,07;2,18;;
12/04/2000;1,076,435;0,07;2,21;;
13/04/2000;1,077,225;0,07;2,24;;
14/04/2000;1,078,016;0,07;2,27;;
15/04/2000;1,078,807;0,07;2,3;;
16/04/2000;1,079,417;0,06;2,28;;
17/04/2000;1,080,027;0,06;2,27;;
18/04/2000;1,080,638;0,06;2,25;;
19/04/2000;1,081,249;0,06;2,23;;
20/04/2000;108,186;0,06;2,21;;
21/04/2000;1,082,472;0,06;2,2;;
22/04/2000;1,083,084;0,06;2,18;;
23/04/2000;1,083,696;0,06;2,16;;
24/04/2000;1,084,308;0,06;2,15;;
25/04/2000;1,084,921;0,06;2,13;;
26/04/2000;1,085,535;0,06;2,11;;
27/04/2000;1,086,149;0,06;2,09;;
28/04/2000;1,086,763;0,06;2,08;;
29/04/2000;1,087,377;0,06;2,06;;
30/04/2000;1,087,992;0,06;2,04;;
1/05/2000;1,088,607;0,06;1,95;;
2/05/2000;1,089,222;0,06;1,93;;
3/05/2000;1,089,838;0,06;1,92;;
4/05/2000;1,090,454;0,06;1,9;;
5/05/2000;1,091,071;0,06;1,88;;
6/05/2000;1,091,687;0,06;1,86;;
7/05/2000;1,092,305;0,06;1,85;;
8/05/2000;1,092,922;0,06;1,83;;
9/05/2000;109,354;0,06;1,81;;
10/05/2000;1,094,158;0,06;1,8;;
11/05/2000;1,094,777;0,06;1,78;;
12/05/2000;1,095,396;0,06;1,76;;
13/05/2000;1,096,015;0,06;1,74;;
14/05/2000;1,096,635;0,06;1,73;;
15/05/2000;1,097,255;0,06;1,71;;
16/05/2000;1,097,607;0,03;1,69;;
17/05/2000;109,796;0,03;1,66;;
18/05/2000;1,098,312;0,03;1,64;;
19/05/2000;1,098,665;0,03;1,61;;
20/05/2000;1,099,017;0,03;1,59;;
21/05/2000;109,937;0,03;1,56;;
22/05/2000;1,099,723;0,03;1,54;;
23/05/2000;1,100,076;0,03;1,51;;
24/05/2000;1,100,429;0,03;1,49;;
25/05/2000;1,100,783;0,03;1,46;;
26/05/2000;1,101,136;0,03;1,44;;
27/05/2000;1,101,489;0,03;1,41;;
28/05/2000;1,101,843;0,03;1,39;;
29/05/2000;1,102,197;0,03;1,36;;
30/05/2000;1,102,551;0,03;1,34;;
31/05/2000;1,102,905;0,03;1,37;;
